Title,Premiere,Genre,Runtime,Language
"Game Over, Man!",2018,Action comedy,minutes:101,English
Paradox,2018,Musical  Western  Fantasy,minutes:73,English
Roxanne Roxanne,2018,Musical drama,minutes:100,English
Happy Anniversary,2018,Romantic comedy,minutes:78,English
First Match,2018,Sports drama,minutes:102,English
6 Balloons,2018,Drama,minutes:75,English
Amateur,2018,Sports drama,minutes:96,English
Come Sunday,2018,Biopic,minutes:105,English
I Am Not an Easy Man,2018,Romantic comedy,minutes:98,French
Dude,2018,Teen comedy drama,minutes:97,English
Candy Jar,2018,Romantic comedy,minutes:92,English
The Week Of,2018,Comedy,minutes:116,English
Sometimes,2018,Drama,minutes:101,Tamil
Forgive Us Our Debts,2018,Drama,minutes:104,Italian
The Kissing Booth,2018,Teen romantic comedy,minutes:106,English
Cargo,2018,Drama  Horror,minutes:104,English
Ibiza,2018,Comedy,minutes:94,English
Sara's Notebook,2018,Drama,minutes:116,Spanish
Alex Strangelove,2018,Romantic comedy,minutes:99,English
Set It Up,2018,Romantic comedy,minutes:105,English
Lust Stories,2018,Drama anthology,minutes:120,Hindi
"To Each, Her Own",2018,Romantic comedy,minutes:95,French
Calibre,2018,Thriller,minutes:101,English
TAU,2018,Science fiction thriller,minutes:97,English
The Legacy of a Whitetail Deer Hunter,2018,Adventure comedy,minutes:83,English
How It Ends,2018,Action thriller,minutes:113,English
Father of the Year,2018,Comedy,minutes:94,English
Duck Duck Goose,2018,Animated comedy,minutes:92,English
Extinction,2018,Science fiction thriller,minutes:95,English
Brij Mohan Amar Rahe,2018,Action comedy,minutes:100,Hindi
Like Father,2018,Comedy drama,minutes:103,English
The Package,2018,Black comedy,minutes:94,English
To All the Boys I've Loved Before,2018,Teen romantic comedy,minutes:100,English
The After Party,2018,Comedy,minutes:89,English
Sierra Burgess Is a Loser,2018,Teen romantic comedy drama,minutes:106,English
The Most Assassinated Woman in the World,2018,Mystery,minutes:102,French
On My Skin,2018,Crime drama,minutes:100,Italian
The Land of Steady Habits,2018,Comedy drama,minutes:98,English
The Angel,2018,Spy thriller,minutes:114,English
Nappily Ever After,2018,Comedy drama,minutes:98,English
Hold the Dark,2018,Action thriller,minutes:125,English
Private Life,2018,Drama,minutes:124,English
22 July,2018,Crime drama,minutes:144,English
Apostle,2018,Horror,minutes:130,English
The Night Comes for Us,2018,Action thriller,minutes:120,Indonesian
Been So Long,2018,Musical,minutes:100,English
The Holiday Calendar,2018,Christmas romantic comedy,minutes:95,English
The Other Side of the Wind,2018,Drama,minutes:122,English
Outlaw King,2018,Historical epic,minutes:121,English
The Princess Switch,2018,Christmas romantic comedy,minutes:102,English
Cam,2018,Psychological horror,minutes:94,English
The Ballad of Buster Scruggs,2018,Western anthology,minutes:133,English
The Christmas Chronicles,2018,Christmas  Fantasy  Adventure  Comedy,minutes:105,English
A Christmas Prince: The Royal Wedding,2018,Christmas romantic comedy,minutes:93,English
Rajma Chawal,2018,Comedy drama,minutes:118,Hindi
5 Star Christmas,2018,Christmas comedy,minutes:95,Italian
Mowgli: Legend of the Jungle,2018,Adventure,minutes:104,English
Roma,2018,Drama,minutes:134,Spanish
Bird Box,2018,Psychological thriller,minutes:124,English
Seeing Allred,2018,Documentary,minutes:95,English
The Trader,2018,Documentary,minutes:23,Georgian
Ladies First,2018,Documentary,minutes:39,Hindi
Take Your Pills,2018,Documentary,minutes:87,English
"Ram Dass, Going Home",2018,Documentary,minutes:31,English
Mercury 13,2018,Documentary,minutes:79,English
The Rachel Divide,2018,Documentary,minutes:104,English
End Game,2018,Documentary,minutes:40,English
Recovery Boys,2018,Documentary,minutes:89,English
The Bleeding Edge,2018,Documentary,minutes:100,English
City of Joy,2018,Documentary,minutes:76,English
Reversing Roe,2018,Documentary,minutes:99,English
Quincy,2018,Documentary,minutes:124,English
Two Catalonias,2018,Documentary,minutes:116,Spanish
Lessons from a School Shooting: Notes from Dunblane,2018,Documentary,minutes:23,English
Feminists: What Were They Thinking?,2018,Documentary,minutes:86,English
ReMastered: Who Shot the Sheriff?,2018,Documentary,minutes:57,English
Shirkers,2018,Documentary,minutes:97,English
They'll Love Me When I'm Dead,2018,Documentary,minutes:98,English
ReMastered: Tricky Dick & the Man in Black,2018,Documentary,minutes:58,English
The American Meme,2018,Documentary,minutes:98,English
ReMastered: Who Killed Jam Master Jay?,2018,Documentary,minutes:58,English
"Out of Many, One",2018,Documentary,minutes:34,English
Struggle: The Life and Lost Art of Szukalski,2018,Documentary,minutes:105,English
Loudon Wainwright III: Surviving Twin,2018,One man show,minutes:91,English
Angela's Christmas,2018,Animation,minutes:30,English
Springsteen on Broadway,2018,One man show,minutes:153,English
Porta dos Fundos: The Last Hangover,2018,Comedy,minutes:44,Portuguese
Taylor Swift: Reputation Stadium Tour,2018,Concert film,minutes:125,English
Zion,2018,Documentary,minutes:11,English
Lionheart,2019,Drama,minutes:94,English
The Last Laugh,2019,Comedy,minutes:98,English
IO,2019,Science fiction,minutes:96,English
Soni,2019,Crime drama,minutes:97,Hindi
Polar,2019,Action,minutes:118,English
Velvet Buzzsaw,2019,Dark comedy horror,minutes:112,English
High Flying Bird,2019,Sports drama,minutes:90,English
Firebrand,2019,Drama,minutes:116,Marathi
Paris Is Us,2019,Romance drama,minutes:84,French
Paddleton,2019,Comedy drama,minutes:89,English
Walk. Ride. Rodeo.,2019,Biopic,minutes:99,English
Juanita,2019,Drama,minutes:90,English
Triple Frontier,2019,Action adventure,minutes:125,English
Altered Carbon: Resleeved,2020,AnimeScience fiction,minutes:74,Japanese
The Dirt,2019,Biographical comedy,minutes:108,English
The Highwaymen,2019,Crime drama,minutes:132,English
15 August,2019,Comedy drama,minutes:124,Marathi
Unicorn Store,2019,Comedy drama,minutes:91,English
Who Would You Take to a Deserted Island?,2019,Drama,minutes:93,Spanish
The Perfect Date,2019,Teen romantic comedy,minutes:90,English
Someone Great,2019,Romantic comedy,minutes:92,English
Music Teacher,2019,Drama,minutes:101,Hindi
Despite Everything,2019,Comedy,minutes:78,Spanish
The Last Summer,2019,Teen romantic comedy,minutes:109,English
Wine Country,2019,Comedy,minutes:103,English
Good Sam,2019,Drama,minutes:90,English
See You Yesterday,2019,Science fiction,minutes:87,English
Rim of the World,2019,Science fiction adventure,minutes:99,English
The Perfection,2019,Horror thriller,minutes:90,English
Always Be My Maybe,2019,Romantic comedy,minutes:102,English
Chopsticks,2019,Comedy,minutes:100,Hindi
Elisa & Marcela,2019,Biographical romance,minutes:118,Spanish
Murder Mystery,2019,Comedy mystery,minutes:97,English
Beats,2019,Coming of age drama,minutes:110,English
Point Blank,2019,Action,minutes:86,English
Secret Obsession,2019,Thriller,minutes:97,English
The Red Sea Diving Resort,2019,Spy thriller,minutes:130,English
Otherhood,2019,Comedy,minutes:100,English
Jaoon Kahan Bata Ae Dil,2019,Romantic drama,minutes:106,Hindi
Invader Zim: Enter the Florpus,2019,Animation  Science fiction,minutes:71,English
Sextuplets,2019,Comedy,minutes:99,English
Falling Inn Love,2019,Romantic comedy,minutes:98,English
Back to School,2019,Comedy,minutes:83,French
Tall Girl,2019,Teen comedy drama,minutes:102,English
Between Two Ferns: The Movie,2019,Comedy,minutes:82,English
In the Shadow of the Moon,2019,Science fiction thriller,minutes:115,English
In the Tall Grass,2019,Horror,minutes:101,English
El Camino: A Breaking Bad Movie,2019,Crime drama,minutes:122,English
Fractured,2019,Thriller,minutes:100,English
The Forest of Love,2019,Crime thriller,minutes:151,Japanese
Street Flow,2019,Drama,minutes:96,French
Eli,2019,Horror,minutes:98,English
Seventeen,2019,Coming of age comedy drama,minutes:99,Spanish
The Laundromat,2019,Biographical comedy drama,minutes:96,English
Upstarts,2019,Comedy drama,minutes:112,Hindi
Dolemite Is My Name,2019,Biopic,minutes:118,English
Rattlesnake,2019,Horror,minutes:85,English
The King,2019,Historical drama,minutes:140,English
American Son,2019,Drama,minutes:90,English
Drive,2019,Action,minutes:119,Hindi
Holiday in the Wild,2019,Christmas adventure romance,minutes:86,English
Let It Snow,2019,Christmas romantic comedy,minutes:93,English
Earthquake Bird,2019,Thriller,minutes:106,English
House Arrest,2019,Comedy,minutes:104,Hindi
Klaus,2019,Animation  Christmas  Comedy  Adventure,minutes:98,English
The Knight Before Christmas,2019,Christmas romantic comedy,minutes:92,English
The Irishman,2019,Crime drama,minutes:209,English
Holiday Rush,2019,Christmas family,minutes:94,English
Dead Kids,2019,Thriller,minutes:94,Filipino
A Christmas Prince: The Royal Baby,2019,Christmas romantic comedy,minutes:85,English
Marriage Story,2019,Drama,minutes:136,English
6 Underground,2019,Action,minutes:128,English
The Two Popes,2019,Biographical drama,minutes:125,English
Como caído del cielo,2019,Comedy,minutes:117,Spanish
The App,2019,Science fiction drama,minutes:79,Italian
ReMastered: Massacre at the Stadium,2019,Documentary,minutes:64,English
Fyre: The Greatest Party That Never Happened,2019,Documentary,minutes:97,English
ReMastered: The Two Killings of Sam Cooke,2019,Documentary,minutes:64,English
Period. End of Sentence.,2019,Documentary,minutes:26,Hindi
Antoine Griezmann: The Making of a Legend,2019,Documentary,minutes:60,French
ReMastered: The Miami Showband Massacre,2019,Documentary,minutes:70,English
The Legend of Cocaine Island,2019,Documentary,minutes:87,English
Homecoming: A Film by Beyoncé,2019,Documentary,minutes:137,English
Brené Brown: The Call to Courage,2019,Documentary,minutes:76,English
Grass Is Greener,2019,Documentary,minutes:97,English
ReMastered: Devil at the Crossroads,2019,Documentary,minutes:48,English
Knock Down the House,2019,Documentary,minutes:87,English
All in My Family,2019,Documentary,minutes:39,English
ReMastered: The Lion's Share,2019,Documentary,minutes:84,English
A Tale of Two Kitchens,2019,Documentary,minutes:30,Spanish
After Maria,2019,Documentary,minutes:37,Spanish
The Black Godfather,2019,Documentary,minutes:118,English
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,Documentary,minutes:142,English
Life Overtakes Me,2019,Documentary,minutes:40,English
The Edge of Democracy,2019,Documentary,minutes:121,Portuguese
Parchis: The Documentary,2019,Documentary,minutes:106,Spanish
The Great Hack,2019,Documentary,minutes:114,English
Enter the Anime,2019,Documentary,minutes:58,English
American Factory,2019,Documentary,minutes:110,English
Travis Scott: Look Mom I Can Fly,2019,Documentary,minutes:85,English
Evelyn,2019,Documentary,minutes:96,English
"Hello, Privilege. It's Me, Chelsea",2019,Documentary,minutes:64,English
Los Tigres del Norte at Folsom Prison,2019,Documentary,minutes:64,Spanish
Birders,2019,Documentary,minutes:37,Spanish
Ghosts of Sugar Land,2019,Documentary,minutes:21,English
Tell Me Who I Am,2019,Documentary,minutes:85,English
Dancing with the Birds,2019,Documentary,minutes:51,English
It Takes a Lunatic,2019,Documentary,minutes:126,English
A 3 Minute Hug,2019,Documentary,minutes:28,Spanish
Fire in Paradise,2019,Documentary,minutes:39,English
"Bikram: Yogi, Guru, Predator",2019,Documentary,minutes:86,English
"Lorena, Light-Footed Woman",2019,Documentary,minutes:28,Spanish
After the Raid,2019,Documentary,minutes:25,Spanish
El Pepe: A Supreme Life,2019,Documentary,minutes:73,Spanish
Kevin Hart's Guide to Black History,2019,Variety show,minutes:63,English
Still Laugh-In: The Stars Celebrate,2019,Variety show,minutes:60,English
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,Comedy  Musical,minutes:30,English
"Frankenstein's Monster's Monster, Frankenstein",2019,Mockumentary,minutes:32,English
Rocko's Modern Life: Static Cling,2019,Animation  Comedy,minutes:45,English
Sturgill Simpson Presents: Sound & Fury,2019,Animation  Musical,minutes:41,English
The Irishman: In Conversation,2019,Aftershow  Interview,minutes:23,English
Porta dos Fundos: The First Temptation of Christ,2019,Comedy,minutes:46,Portuguese
John Mulaney & the Sack Lunch Bunch,2019,Variety show,minutes:70,English
Anima,2019,Musical,minutes:15,English
American Factory: A Conversation with the Obamas,2019,Aftershow  Interview,minutes:10,English
Little Miss Sumo,2019,Documentary,minutes:19,Japanese
The Road to El Camino: A Breaking Bad Movie,2019,Making of,minutes:13,English
Ghost Stories,2020,Horror anthology,minutes:144,Hindi
A Fall from Grace,2020,Thriller,minutes:120,English
Airplane Mode,2020,Comedy,minutes:96,Portuguese
Horse Girl,2020,Psychological drama,minutes:104,English
To All the Boys: P.S. I Still Love You,2020,Teen romantic comedy,minutes:102,English
Isi & Ossi,2020,Romantic comedy,minutes:113,German
The Last Thing He Wanted,2020,Political thriller,minutes:115,English
Yeh Ballet,2020,Drama,minutes:117,Hindi
All the Bright Places,2020,Teen romance,minutes:108,English
Guilty,2020,Thriller drama,minutes:119,Hindi
Spenser Confidential,2020,Action comedy,minutes:111,English
Lost Girls,2020,Crime drama,minutes:95,English
Ultras,2020,Sports,minutes:109,Italian
The Occupant,2020,Thriller,minutes:103,Spanish
Maska,2020,Romantic comedy,minutes:111,Hindi
The Decline,2020,Action thriller,minutes:83,French
Uncorked,2020,Drama,minutes:104,English
Coffee & Kareem,2020,Action comedy,minutes:88,English
The Main Event,2020,Sports comedy,minutes:103,English
Love Wedding Repeat,2020,Romantic comedy,minutes:100,English
Tigertail,2020,Drama,minutes:91,English
Earth and Blood,2020,Action,minutes:80,French
Rising High,2020,Satire drama,minutes:94,German
Sergio,2020,Biopic,minutes:118,English
The Willoughbys,2020,Animated comedy,minutes:92,English
Time to Hunt,2020,Action thriller,minutes:135,Korean
Extraction,2020,Action,minutes:117,English
Dangerous Lies,2020,Thriller,minutes:97,English
Rich in Love,2020,Romantic comedy,minutes:105,Portuguese
All Day and a Night,2020,Drama,minutes:121,English
Mrs. Serial Killer,2020,Crime,minutes:107,Hindi
The Half of It,2020,Teen romance,minutes:105,English
The Wrong Missy,2020,Black comedy,minutes:90,English
The Lovebirds,2020,Romantic comedy,minutes:87,English
I'm No Longer Here,2020,Drama,minutes:112,Spanish
Intuition,2020,Crime thriller,minutes:116,Spanish
Choked: Paisa Bolta Hai,2020,Drama,minutes:114,Hindi
The Last Days of American Crime,2020,Heist thriller,minutes:149,English
Da 5 Bloods,2020,War drama,minutes:155,English
A Whisker Away,2020,Anime fantasy,minutes:105,Japanese
Feel the Beat,2020,Family  Comedy drama,minutes:109,English
Lost Bullet,2020,Action,minutes:93,French
One-Way to Tomorrow,2020,Romantic drama,minutes:90,Turkish
Bulbbul,2020,Horror,minutes:94,Hindi
Nobody Knows I'm Here,2020,Drama,minutes:91,Spanish
Eurovision Song Contest: The Story of Fire Saga,2020,Musical comedy,minutes:123,English
Under the Riccione Sun,2020,Romantic teenage drama,minutes:102,Italian
Desperados,2020,Romantic comedy,minutes:106,English
The Old Guard,2020,Superhero,minutes:125,English
The Players,2020,Comedy,minutes:88,Italian
Fatal Affair,2020,Psychological thriller,minutes:89,English
Offering to the Storm,2020,Crime thriller,minutes:139,Spanish
The Kissing Booth 2,2020,Teen romantic comedy,minutes:132,English
Seriously Single,2020,Comedy,minutes:107,English
Raat Akeli Hai,2020,Thriller,minutes:149,Hindi
Work It,2020,Dance comedy,minutes:93,English
Gunjan Saxena: The Kargil Girl,2020,Biographical drama,minutes:112,Hindi
Project Power,2020,Superhero,minutes:113,English
Fearless,2020,Animation  Superhero,minutes:91,English
Crazy Awesome Teachers,2020,Comedy drama,minutes:101,Indonesian
The Crimes That Bind,2020,Crime drama,minutes:99,Spanish
The Sleepover,2020,Action comedy,minutes:103,English
Class of '83,2020,Crime  Drama,minutes:98,Hindi
Dark Forces,2020,Thriller,minutes:81,Spanish
All Together Now,2020,Drama,minutes:93,English
Unknown Origins,2020,Thriller,minutes:96,Spanish
Freaks – You're One of Us,2020,Supernatural drama,minutes:92,German
"Love, Guaranteed",2020,Romantic comedy,minutes:91,English
I'm Thinking of Ending Things,2020,Psychological thriller,minutes:134,English
The Babysitter: Killer Queen,2020,Comedy  Horror,minutes:102,English
Dad Wanted,2020,Family,minutes:103,Spanish
